pair_id,objective,cost_a,cost_b,agreement_count,vertices_compared,agreement_fraction
2014e5_to_2014e3,additive,mean_distance_tangent,relative_length_error,49,51,0.9607843137254902
2014e5_to_2014e3,additive,mean_distance_tangent,symmetric_corridor_exceedance,24,51,0.47058823529411764
2014e5_to_2014e3,additive,relative_length_error,symmetric_corridor_exceedance,23,51,0.45098039215686275
2014e5_to_2014e3,bottleneck,discrete_frechet_distance,dynamic_time_warping_distance,32,51,0.6274509803921569
2014e5_to_2014e3,bottleneck,discrete_frechet_distance,hausdorff_distance,47,51,0.9215686274509803
2014e5_to_2014e3,bottleneck,discrete_frechet_distance,log_length_distortion,27,51,0.5294117647058824
2014e5_to_2014e3,bottleneck,discrete_frechet_distance,mean_distance_tangent,32,51,0.6274509803921569
2014e5_to_2014e3,bottleneck,discrete_frechet_distance,relative_length_error,27,51,0.5294117647058824
2014e5_to_2014e3,bottleneck,discrete_frechet_distance,symmetric_corridor_exceedance,44,51,0.8627450980392157
2014e5_to_2014e3,bottleneck,dynamic_time_warping_distance,hausdorff_distance,35,51,0.6862745098039216
2014e5_to_2014e3,bottleneck,dynamic_time_warping_distance,log_length_distortion,23,51,0.45098039215686275
2014e5_to_2014e3,bottleneck,dynamic_time_warping_distance,mean_distance_tangent,29,51,0.5686274509803921
2014e5_to_2014e3,bottleneck,dynamic_time_warping_distance,relative_length_error,21,51,0.4117647058823529
2014e5_to_2014e3,bottleneck,dynamic_time_warping_distance,symmetric_corridor_exceedance,31,51,0.6078431372549019
2014e5_to_2014e3,bottleneck,hausdorff_distance,log_length_distortion,27,51,0.5294117647058824
2014e5_to_2014e3,bottleneck,hausdorff_distance,mean_distance_tangent,33,51,0.6470588235294118
2014e5_to_2014e3,bottleneck,hausdorff_distance,relative_length_error,25,51,0.49019607843137253
2014e5_to_2014e3,bottleneck,hausdorff_distance,symmetric_corridor_exceedance,47,51,0.9215686274509803
2014e5_to_2014e3,bottleneck,log_length_distortion,mean_distance_tangent,26,51,0.5098039215686274
2014e5_to_2014e3,bottleneck,log_length_distortion,relative_length_error,47,51,0.9215686274509803
2014e5_to_2014e3,bottleneck,log_length_distortion,symmetric_corridor_exceedance,28,51,0.5490196078431373
2014e5_to_2014e3,bottleneck,mean_distance_tangent,relative_length_error,25,51,0.49019607843137253
2014e5_to_2014e3,bottleneck,mean_distance_tangent,symmetric_corridor_exceedance,30,51,0.5882352941176471
2014e5_to_2014e3,bottleneck,relative_length_error,symmetric_corridor_exceedance,26,51,0.5098039215686274
