candidate_semantics,source,target,source_vertices,source_edges,target_junction_vertices,target_junction_edges,candidate_mode,minimum_rho,top_k,subdivision_points,adaptive_max_points_per_source,adaptive_min_separation,matching_target_vertices,matching_target_edges,total_candidates,minimum_candidates,maximum_candidates,estimated_state_upper_bound,largest_candidate_product,search_seconds,status
baseline_junctions_plus_mode_additions_v2,1998e5,1955e3,54,78,371,581,adaptive_closest_points,12.5,25,2,8,1.0,534,744,595,2,24,864904,219024,17.593101,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1955e5,54,78,70,103,target_junctions,12.5,25,2,8,1.0,70,103,205,2,7,10428,1440,0.362701,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1955e5,54,78,70,103,original_target_vertices,12.5,25,2,8,1.0,2828,2861,996,2,44,5694940,1135200,2.046974,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1955e5,54,78,70,103,uniform_target_subdivision,12.5,25,2,8,1.0,276,309,284,2,11,45895,11200,0.499581,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1955e5,54,78,70,103,adaptive_closest_points,12.5,25,2,8,1.0,159,192,323,2,14,67342,12000,10.599216,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1998e3,54,78,321,509,target_junctions,0,25,2,8,1.0,321,509,231,2,6,14388,1920,0.071340,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1998e3,54,78,321,509,original_target_vertices,0,25,2,8,1.0,4322,4511,231,2,6,14388,1920,0.182235,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1998e3,54,78,321,509,uniform_target_subdivision,0,25,2,8,1.0,1339,1527,233,2,6,14473,1920,0.060737,ok
baseline_junctions_plus_mode_additions_v2,1998e5,1998e3,54,78,321,509,adaptive_closest_points,0,25,2,8,1.0,331,519,241,2,6,17179,2400,0.647877,ok
baseline_junctions_plus_mode_additions_v2,1998e5,2014e3,54,78,317,493,target_junctions,15.629,25,2,8,1.0,317,493,405,2,13,105608,11880,1.585097,ok
